ID;Muestreo;No_Muestreo;Tiempo;Replica;Control;Ctrl_Mean;Cobre;Cu_Mean;Hierro;Fe_Mean
t0-1;t0;1;0min;1;64993;69875;232298;198824;87741;102398
t0-2;t0;1;0min;2;54396;69875;190727;198824;93083;102398
t0-3;t0;1;0min;3;90237;69875;173449;198824;126370;102398
t1-1;t1;2;5min;1;123631;110764;314424;262751;72202;141775
t1-2;t1;2;5min;2;102093;110764;239165;262751;191440;141775
t1-3;t1;2;5min;3;106568;110764;234666;262751;161685;141775
t2-1;t2;3;15min;1;127398;92118;302130;232214;143090;128833
t2-2;t2;3;15min;2;47020;92118;186195;232214;100314;128833
t2-3;t2;3;15min;3;101937;92118;208317;232214;143097;128833
t3-1;t3;4;30min;1;129916;151538;278041;258817;139734;117055
t3-2;t3;4;30min;2;200692;151538;237487;258817;104713;117055
t3-3;t3;4;30min;3;124006;151538;260923;258817;106720;117055
t4-1;t4;5;1h;1;120531;123587;303193;247827;;
t4-2;t4;5;1h;2;119846;123587;211226;247827;;
t4-3;t4;5;1h;3;130384;123587;229062;247827;;
t5-1;t5;6;2h;1;139979;150650;269573;210680;;
t5-2;t5;6;2h;2;173167;150650;193412;210680;;
t5-3;t5;6;2h;3;138804;150650;169055;210680;;
t6-1;t6;7;4h;1;62944;127953;304951;255878;;
t6-2;t6;7;4h;2;178594;127953;246496;255878;;
t6-3;t6;7;4h;3;142321;127953;216188;255878;;
t7-1;t7;8;8h;1;84265;70305;271286;267144;;
t7-2;t7;8;8h;2;81951;70305;269335;267144;;
t7-3;t7;8;8h;3;44699;70305;260811;267144;;
t8-1;t8;9;12h;1;154601;161468;270747;260747;;
t8-2;t8;9;12h;2;134608;161468;259314;260747;;
t8-3;t8;9;12h;3;195195;161468;252181;260747;;
t9-1;t9;10;24h;1;274314;268400;275062;250307;;
t9-2;t9;10;24h;2;265104;268400;255118;250307;;
t9-3;t9;10;24h;3;265783;268400;220741;250307;;
t10-1;t10;11;36h;1;600370;561071;349755;302808;;
t10-2;t10;11;36h;2;539440;561071;249972;302808;;
t10-3;t10;11;36h;3;543405;561071;308699;302808;;
t11-1;t11;12;48h;1;1146622;1120402;410328;351796;;
t11-2;t11;12;48h;2;1114209;1120402;314062;351796;;
t11-3;t11;12;48h;3;1100377;1120402;331000;351796;;
t12-1;t12;13;60h;1;1847279;1995351;890090;757300;;
t12-2;t12;13;60h;2;1951699;1995351;753804;757300;;
t12-3;t12;13;60h;3;2187076;1995351;628006;757300;;
t13-1;t13;14;72h;1;2189195;2200640;1110937;934039;;
t13-2;t13;14;72h;2;2296391;2200640;951748;934039;;
t13-3;t13;14;72h;3;2116335;2200640;739433;934039;;
